# external cosmogenics, factorised sampling table
# generated by make_external_cosmogenics_table.py from a 189875-row CSV
# energy in keV; cos_theta measured about the drift axis; phi in rad
#
# SPECIES <pdg> <n_particles> <representation>
# L    <ekin_keV> <count>                 discrete line, exact energy
# E    <lo_keV> <hi_keV> <count>          quantile-spaced continuum
# A    <cos_lo> <cos_hi> <phi_lo> <phi_hi> <count>
# RAW  <ekin_keV> <dirX> <dirY> <dirZ>    species below 200 particles

A -0.8750 -0.7500 -1.5708 -1.0472 1250
A -0.8750 -0.7500 -1.0472 -0.5236 1124
A -0.8750 -0.7500 -0.5236 0.0000 1039
A -0.8750 -0.7500 0.0000 0.5236 1034
A -0.8750 -0.7500 0.5236 1.0472 1073
A -0.8750 -0.7500 1.0472 1.5708 1106
A -0.8750 -0.7500 1.5708 2.0944 1120
A -0.8750 -0.7500 2.0944 2.6180 1054
A -0.8750 -0.7500 2.6180 3.1416 1048
A -0.7500 -0.6250 -3.1416 -2.6180 883
A -0.7500 -0.6250 -2.6180 -2.0944 971
A -0.7500 -0.6250 -2.0944 -1.5708 948
A -0.7500 -0.6250 -1.5708 -1.0472 1005
A -0.7500 -0.6250 -1.0472 -0.5236 942
A -0.7500 -0.6250 -0.5236 0.0000 796
A -0.7500 -0.6250 0.0000 0.5236 890
A -0.7500 -0.6250 0.5236 1.0472 913
A -0.7500 -0.6250 1.0472 1.5708 879
A -0.7500 -0.6250 1.5708 2.0944 914
A -0.7500 -0.6250 2.0944 2.6180 945
A -0.7500 -0.6250 2.6180 3.1416 910
A -0.6250 -0.5000 -3.1416 -2.6180 694
A -0.6250 -0.5000 -2.6180 -2.0944 778
A -0.6250 -0.5000 -2.0944 -1.5708 825
A -0.6250 -0.5000 -1.5708 -1.0472 834
A -0.6250 -0.5000 -1.0472 -0.5236 735
A -0.6250 -0.5000 -0.5236 0.0000 650
A -0.6250 -0.5000 0.0000 0.5236 660
A -0.6250 -0.5000 0.5236 1.0472 721
A -0.6250 -0.5000 1.0472 1.5708 774
A -0.6250 -0.5000 1.5708 2.0944 769
A -0.6250 -0.5000 2.0944 2.6180 744
A -0.6250 -0.5000 2.6180 3.1416 637
A -0.5000 -0.3750 -3.1416 -2.6180 503
A -0.5000 -0.3750 -2.6180 -2.0944 574
A -0.5000 -0.3750 -2.0944 -1.5708 620
A -0.5000 -0.3750 -1.5708 -1.0472 632
A -0.5000 -0.3750 -1.0472 -0.5236 578
A -0.5000 -0.3750 -0.5236 0.0000 496
A -0.5000 -0.3750 0.0000 0.5236 568
A -0.5000 -0.3750 0.5236 1.0472 601
A -0.5000 -0.3750 1.0472 1.5708 592
A -0.5000 -0.3750 1.5708 2.0944 632
A -0.5000 -0.3750 2.0944 2.6180 585
A -0.5000 -0.3750 2.6180 3.1416 510
A -0.3750 -0.2500 -3.1416 -2.6180 366
A -0.3750 -0.2500 -2.6180 -2.0944 428
A -0.3750 -0.2500 -2.0944 -1.5708 486
A -0.3750 -0.2500 -1.5708 -1.0472 472
A -0.3750 -0.2500 -1.0472 -0.5236 429
A -0.3750 -0.2500 -0.5236 0.0000 349
A -0.3750 -0.2500 0.0000 0.5236 371
A -0.3750 -0.2500 0.5236 1.0472 424
A -0.3750 -0.2500 1.0472 1.5708 456
A -0.3750 -0.2500 1.5708 2.0944 465
A -0.3750 -0.2500 2.0944 2.6180 440
A -0.3750 -0.2500 2.6180 3.1416 366
A -0.2500 -0.1250 -3.1416 -2.6180 224
A -0.2500 -0.1250 -2.6180 -2.0944 303
A -0.2500 -0.1250 -2.0944 -1.5708 327
A -0.2500 -0.1250 -1.5708 -1.0472 325
A -0.2500 -0.1250 -1.0472 -0.5236 338
A -0.2500 -0.1250 -0.5236 0.0000 214
A -0.2500 -0.1250 0.0000 0.5236 246
A -0.2500 -0.1250 0.5236 1.0472 309
A -0.2500 -0.1250 1.0472 1.5708 321
A -0.2500 -0.1250 1.5708 2.0944 309
A -0.2500 -0.1250 2.0944 2.6180 273
A -0.2500 -0.1250 2.6180 3.1416 226
A -0.1250 0.0000 -3.1416 -2.6180 96
A -0.1250 0.0000 -2.6180 -2.0944 168
A -0.1250 0.0000 -2.0944 -1.5708 224
A -0.1250 0.0000 -1.5708 -1.0472 223
A -0.1250 0.0000 -1.0472 -0.5236 155
A -0.1250 0.0000 -0.5236 0.0000 94
A -0.1250 0.0000 0.0000 0.5236 122
A -0.1250 0.0000 0.5236 1.0472 180
A -0.1250 0.0000 1.0472 1.5708 212
A -0.1250 0.0000 1.5708 2.0944 249
A -0.1250 0.0000 2.0944 2.6180 164
A -0.1250 0.0000 2.6180 3.1416 117
A 0.0000 0.1250 -3.1416 -2.6180 56
A 0.0000 0.1250 -2.6180 -2.0944 128
A 0.0000 0.1250 -2.0944 -1.5708 207
A 0.0000 0.1250 -1.5708 -1.0472 179
A 0.0000 0.1250 -1.0472 -0.5236 136
A 0.0000 0.1250 -0.5236 0.0000 63
A 0.0000 0.1250 0.0000 0.5236 57
A 0.0000 0.1250 0.5236 1.0472 136
A 0.0000 0.1250 1.0472 1.5708 181
A 0.0000 0.1250 1.5708 2.0944 171
A 0.0000 0.1250 2.0944 2.6180 143
A 0.0000 0.1250 2.6180 3.1416 64
A 0.1250 0.2500 -3.1416 -2.6180 76
A 0.1250 0.2500 -2.6180 -2.0944 141
A 0.1250 0.2500 -2.0944 -1.5708 190
A 0.1250 0.2500 -1.5708 -1.0472 201
A 0.1250 0.2500 -1.0472 -0.5236 147
A 0.1250 0.2500 -0.5236 0.0000 50
A 0.1250 0.2500 0.0000 0.5236 62
A 0.1250 0.2500 0.5236 1.0472 156
A 0.1250 0.2500 1.0472 1.5708 191
A 0.1250 0.2500 1.5708 2.0944 215
A 0.1250 0.2500 2.0944 2.6180 159
A 0.1250 0.2500 2.6180 3.1416 67
A 0.2500 0.3750 -3.1416 -2.6180 92
A 0.2500 0.3750 -2.6180 -2.0944 167
A 0.2500 0.3750 -2.0944 -1.5708 217
A 0.2500 0.3750 -1.5708 -1.0472 198
A 0.2500 0.3750 -1.0472 -0.5236 123
A 0.2500 0.3750 -0.5236 0.0000 77
A 0.2500 0.3750 0.0000 0.5236 85
A 0.2500 0.3750 0.5236 1.0472 152
A 0.2500 0.3750 1.0472 1.5708 197
A 0.2500 0.3750 1.5708 2.0944 226
A 0.2500 0.3750 2.0944 2.6180 168
A 0.2500 0.3750 2.6180 3.1416 74
A 0.3750 0.5000 -3.1416 -2.6180 82
A 0.3750 0.5000 -2.6180 -2.0944 151
A 0.3750 0.5000 -2.0944 -1.5708 208
A 0.3750 0.5000 -1.5708 -1.0472 178
A 0.3750 0.5000 -1.0472 -0.5236 162
A 0.3750 0.5000 -0.5236 0.0000 105
A 0.3750 0.5000 0.0000 0.5236 106
A 0.3750 0.5000 0.5236 1.0472 155
A 0.3750 0.5000 1.0472 1.5708 205
A 0.3750 0.5000 1.5708 2.0944 191
A 0.3750 0.5000 2.0944 2.6180 145
A 0.3750 0.5000 2.6180 3.1416 104
A 0.5000 0.6250 -3.1416 -2.6180 118
A 0.5000 0.6250 -2.6180 -2.0944 166
A 0.5000 0.6250 -2.0944 -1.5708 189
A 0.5000 0.6250 -1.5708 -1.0472 234
A 0.5000 0.6250 -1.0472 -0.5236 158
A 0.5000 0.6250 -0.5236 0.0000 112
A 0.5000 0.6250 0.0000 0.5236 127
A 0.5000 0.6250 0.5236 1.0472 156
A 0.5000 0.6250 1.0472 1.5708 192
A 0.5000 0.6250 1.5708 2.0944 214
A 0.5000 0.6250 2.0944 2.6180 191
A 0.5000 0.6250 2.6180 3.1416 128
A 0.6250 0.7500 -3.1416 -2.6180 127
A 0.6250 0.7500 -2.6180 -2.0944 196
A 0.6250 0.7500 -2.0944 -1.5708 196
A 0.6250 0.7500 -1.5708 -1.0472 189
A 0.6250 0.7500 -1.0472 -0.5236 172
A 0.6250 0.7500 -0.5236 0.0000 125
A 0.6250 0.7500 0.0000 0.5236 121
A 0.6250 0.7500 0.5236 1.0472 171
A 0.6250 0.7500 1.0472 1.5708 215
A 0.6250 0.7500 1.5708 2.0944 206
